id,name,rating,reviews,host_id,hourse_rules,Price_in_Rupees,Newlisting,Hostname,Property type,State,Country,No_of_Guests,No_of_bedrooms,Has_Wife,Has_Kitchen,Has_Parking
49849504.0,Perla bungalov,4.71,64.0,357334205,Checkin FlexibleCheck out 1200 pmPets are allowedSmoking is allowed,8078.0,0,Mehmetcan,Entire bungalow ,Kocaeli,Turkey,2,2,1,1,1
50891766.0,Authentic Beach Architect Sheltered Villa with Pool and Jacuzzi,,,386223873,Checkin 400 pm  1100 pmCheck out 1000 amNo smokingNo petsNo parties or events,4665.0,1,Fatih,Entire villa ,Antalya,Turkey,4,2,1,1,1
50699164.0,cottages sataplia,4.85,68.0,409690853,Checkin After 100 pmCheck out 1200 pmSelf checkin with lockboxPets are allowed,5991.0,0,Giorgi,Entire cabin ,Imereti,Georgia,4,1,1,1,1
49871422.0,Sapanca Breathable Bungalow,5.0,13.0,401873242,Checkin After 200 pmCheck out 1200 pmNo smokingNo pets,11339.0,0,Melih,Entire bungalow ,Sakarya,Turkey,4,1,1,1,1
51245886.0,Bungalov Ev 2,,,414884116,Checkin After 200 pmCheck out 1200 pmNo smokingNo petsNo parties or eventsShow moreShow more,6673.0,1,ArpSapanca,Entire bungalow ,Sakarya,Turkey,2,1,1,1,1
48650769.0,CasaMia White Suite Treehouse,,,261290482,Checkin After 200 pmCheck out 1200 pmNo smokingNo pets,14729.0,1,Casamia,Treehouse ,Sakarya,Turkey,2,1,1,0,1
50765985.0,Ladin Bungalow,,,15084529,Checkin After 300 pmCheck out 1100 amNo smokingPets are allowed,12312.0,1,Stephen,Entire bungalow ,Antalya,Turkey,2,1,1,1,1
40947216.0,Lavender House,,,318794897,Checkin FlexibleSelf checkin with building staffNo smokingPets are allowedShow moreShow more,13655.0,1,Caner,Treehouse ,Giresun,Turkey,8,1,1,0,1
34043569.0,Princes,,,221057563,Checkin After 100 pmCheck out 1100 amSelf checkin with lockboxPets are allowedSmoking is allowed,1747.0,1,Tu,Entire bungalow ,Lm ng,Vietnam,2,1,1,1,1
42075682.0,The Cottage Private Pool Villa,4.67,3.0,173126583,Checkin After 300 pmNo smokingNo pets,30486.0,0,Sukanya,Entire home ,Chang Wat Chanthaburi,Thailand,10,4,1,1,1
50425621.0,A private pension hut on the hillside of Soklisan Solitary House 1 with a campfire and free firewood for apple trees,4.97,77.0,81358542,Checkin 300 pm  900 pmCheck out 1100 amNot suitable for infants under 2 yearsNo smokingNo petsNo parties or events,9052.0,0,,Farm stay ,North Chungcheong Province,South Korea,4,1,0,1,1
46057058.0,A Frame Tiny Cozy Glamp Wanderthirst Dharamshala,4.89,55.0,280249735,Checkin 100 pm  1100 pmCheck out 1100 amSelf checkin with lockboxPets are allowedSmoking is allowedShow moreShow more,5705.0,0,Adarsh,Hut ,Himachal Pradesh,India,2,1,1,0,1
50689801.0,Cabin A Pahimis  private w pool  kitchen for 8,4.83,116.0,33615391,Checkin 200 pm  400 pmCheck out 1200 pmSelf checkin with building staffNo petsNo parties or eventsSmoking is allowedShow moreShow more,14612.0,0,Froi,Entire cabin ,Calabarzon,Philippines,8,2,1,1,1
53708687.0,OffGrid Tiny AFrame House and Campsite,4.87,23.0,30191442,Checkin 200 pm  800 pmCheck out 1200 pmSelf checkin with keypadNot suitable for infants under 2 yearsNo smokingNo parties or eventsPets are allowedShow moreShow more,8929.0,0,Jaime,Tiny home ,Calabarzon,Philippines,15,1,1,1,1
48325030.0,Kzlkaya bungalow houses my home,4.71,21.0,390046880,Checkin 200 pm  700 pmCheck out 1200 pmSelf checkin with lockboxPets are allowedSmoking is allowed,3763.0,0,Kemal,Treehouse ,Sakarya,Turkey,4,1,0,1,1
6.20245e+17,Villa Tuba,5.0,8.0,457624068,Checkin After 200 pmCheck out 1000 amSelf checkin with lockboxNo smokingNo petsNo parties or events,22758.0,0,VillaTuba,Treehouse ,Antalya,Turkey,6,2,1,1,1
48255254.0,VAD BUNGALOV SAPANCA,4.9,52.0,241464990,Checkin 200 pm  900 pmCheck out 1100 amPets are allowedSmoking is allowedShow moreShow more,11289.0,0,Kenan,Entire bungalow ,Sakarya,Turkey,4,1,1,1,0
6.28273e+17,AVA INARHAN VLLA GARDENBahe Jakuzili Bungalov,4.75,8.0,339801372,Checkin 200 pm  800 pmCheck out 1200 pmNot suitable for children and infantsNo smokingNo petsNo parties or events,7526.0,0,Cihangir,Treehouse ,stanbul,Turkey,2,1,1,1,1
49982847.0,Purkinora Bungalow,4.76,17.0,403086029,Checkin After 1100 amCheck out 1100 amSelf checkin with lockboxNo petsSmoking is allowedShow moreShow more,5018.0,0,Faruk,Private room in bed and breakfast ,Rize,Turkey,2,2,1,1,1
48684568.0,A Glass Teepee Tiny House by the River,4.84,61.0,43936498,Checkin 400 pm  600 pmCheck out 300 pmNo smokingNo parties or eventsPets are allowedShow moreShow more,2747.0,0,Jun,Private room in tipi ,Calabarzon,Philippines,3,1,0,0,0
45231237.0,Sioni Lake House,4.79,49.0,349861144,Checkin 300 pm  800 pmCheck out 100 pmNo smokingNo petsNo parties or eventsShow moreShow more,6827.0,0,Nikoloz,Entire chalet ,MtskhetaMtianeti,Georgia,3,1,0,1,1
50283577.0,Faith Bay Huts 1,4.97,38.0,95436964,Checkin 200 pm  700 pmCheck out 1100 amPets are allowed,5529.0,0,Sofia,Private room in bed and breakfast ,Central Luzon,Philippines,2,1,0,0,0
53809258.0,Sapanca Loft Bungalow,4.82,23.0,415204875,Checkin After 200 pmCheck out 1200 pmPets are allowedSmoking is allowedShow moreShow more,6926.5,0,Rdvan,Treehouse ,Sakarya,Turkey,6,2,0,1,1
52449114.0,Enthralling Escapes with snow view mountains ,5.0,4.0,424528379,Checkin 1200 pm  200 pmCheck out 1000 amNo smokingPets are allowedShow moreShow more,3709.0,0,Harish,Private room in bed and breakfast ,Himachal Pradesh,India,2,1,1,1,0
