Country,premium_ratio
Turkey,0.3801
Georgia,0.6676
Vietnam,0.5229
Thailand,0.5209
"South Korea",0.6593
India,0.5263
Philippines,0.7710
Japan,0.9615
Lebanon,0.5217
Taiwan,0.4955
Israel,0.5580
Armenia,0.5714
Cyprus,0.7000
Lithuania,0.6400
Slovakia,0.9286
Slovenia,0.8158
Denmark,0.9063
Germany,0.8555
Indonesia,0.7734
Poland,0.7372
Romania,0.7130
Greece,0.8155
Ukraine,0.7619
Hungary,0.9231
Albania,1.0000
Bulgaria,0.7736
Malaysia,0.5739
Montenegro,0.7273
Czechia,0.8235
Sweden,0.9013
Austria,0.7123
Croatia,0.5057
Tanzania,0.8750
Italy,0.6094
"Sri Lanka",0.7420
"Bosnia  Herzegovina",0.5000
Kenya,0.6786
Serbia,0.6852
Seychelles,0.7273
Finland,0.8129
Norway,0.8804
Iceland,0.9706
Greenland,0.0000
"United States",0.9124
Canada,0.8378
"Svalbard  Jan Mayen",1.0000
"South Africa",0.9524
"United Kingdom",0.9480
France,0.8505
Australia,1.0000
Morocco,0.6422
Egypt,0.4559
Spain,0.8837
"United Arab Emirates",0.4615
Portugal,0.8387
Pakistan,0.3636
Nepal,0.6000
Singapore,0.8000
Cambodia,0.2632
Azerbaijan,0.0000
Estonia,0.9250
Latvia,0.9500
"Costa Rica",1.0000
Netherlands,0.8990
"New Zealand",1.0000
Panama,0.5833
Mexico,0.8800
Peru,1.0000
Chile,1.0000
Belize,0.5385
Colombia,0.5714
Switzerland,0.7705
Ireland,1.0000
Bolivia,1.0000
Belgium,0.9250
Brazil,0.8889
Mauritius,0.8333
Fiji,0.6667
Maldives,0.1622
"Hong Kong",0.6667
Myanmar,0.5000
Brunei,0.5000
Kyrgyzstan,0.2400
"Puerto Rico",1.0000
Uruguay,0.5000
Argentina,0.3333
Bahamas,0.5000
Oman,0.1000
Kuwait,0.0000
"Saudi Arabia",0.5000
Kazakhstan,0.1667
Uganda,0.4286
Qatar,0.0000
Jordan,0.3333
Bangladesh,0.0000
Mongolia,0.1500
Uzbekistan,0.5000
Liechtenstein,1.0000
Rwanda,0.0000
Honduras,0.5000
"Turks  Caicos Islands",0.0000
Nicaragua,0.7143
Vanuatu,1.0000
"Cayman Islands",1.0000
"French Polynesia",1.0000
Jamaica,0.5000
Guadeloupe,1.0000
Madagascar,0.6667
"land Islands",1.0000
Malta,1.0000
Tunisia,0.5000
Congo,0.0000
Cuba,0.7938
Nigeria,1.0000
Kosovo,0.0000
"St Martin",1.0000
Guatemala,1.0000
Senegal,1.0000
Namibia,1.0000
